Etikett:;Liedtitel:;Komponist:;Nummer:;letzte Auff�hrung:;;
Weltliche Chorliteratur;Schifferlied .....(Es l�scht das Meer...);Fr.Silcher;Rosa 32;;;
Weltliche Chorliteratur;Schiwago Melodie�;Maurice Jarre;Rosa 80;;;
Weihnachtliche Chorliteratur ;Schlaf wohl, du Himmelsknabe du.....(2005);Fr.D. Schubart;Blau 31;Dezember 17;;
Weltliche Chorliteratur;Schlafe mein Prinzchen..       ;W.A. Mozart;Rosa 81;;;
Weltliche Chorliteratur;Schlafen die Freunde�;Dt.Text Kurt Suttner;Rosa 147;;;
Weltliche Chorliteratur;Schmeichelnd hold und lieblich;L.v. Beethoven;Rosa 82;;;
Weltliche Chorliteratur;Seemann deine Heimat ist....(2011);Werner Scharfenberger;Rosa 78;;;
Weltliche Chorliteratur;Sehnsucht   (das alte Lied der Taiga);Gus Anton;Rosa 85;;;
Weltliche Chorliteratur;Sing and Swing-Kanon;L.Maierhofer;Rosa 83;;;
Geistliche Chorliteratur;So nimm den meine H�nde�;Friedr Silcher;Gelb 28;;;
Weltliche Chorliteratur;Sommer kam ins Land gezogen;Engl. Volkslied;Rosa 143;;;
Weltliche Chorliteratur;Sommer unterm Liebesmond..;L.MMaierhofer;Rosa 103;;;
Weltliche Chorliteratur;Sonnenschein dringt durch das Weinlaub..;Robert Pappert;Rosa 84;;;
Weltliche Chorliteratur;Soviel Schwung gibt�s nicht�;Kurt Feltz;Rosa 144;;;
Weltliche Chorliteratur;Spanische Serenade;Fr.Zimmer;Extrabox;;;
Weltliche Chorliteratur;Spanische Serenade;Friedrich Zimmer;Extrabox ;;;
Weltliche Chorliteratur;Spanish Eyes;Bert K�mpfert;Rosa 75;;;
Geistliche Chorliteratur;Stern auf den ich schaue�;Otto Fischer;Gelb 28;Dezember 23;;
Weihnachtliche Chorliteratur ;Stern �ber Bethlehem...;Hans Zoller;Blau 32;Dezember 23;;
Weihnachtliche Chorliteratur ;Still leuchtet der Sternenpracht;Josef Niedhammer;Blau 52;Dezember 17;;
Geistliche Chorliteratur;Still schweigt die Welt  (Trauerfeier);William Henry Monk;Gelb 37;;;
Weihnachtliche Chorliteratur ;Still,still,weils Kindlein schlafen will�2019;Gerhard Wind;Blau 65;;;
Weltliche Chorliteratur;Supercalifragilisticexpialigetisch;Arr.John Leavitt;Rosa 146;;;
Weihnachtliche Chorliteratur ;Sur la chaumiere gemit le vent...(2005);;Blau 33;;;
Weltliche Chorliteratur;Tanze mit mir in den Morgen�.;;Rosa 130;;;
Weltliche Chorliteratur;Tanzen und Springen;Hans Leo Ha�ler;Rosa 86;;;
Weltliche Chorliteratur;Tebe Poem;BORTNIASKY;Rosa 25;;;
Geistliche Chorliteratur;TEBE POEM;Dimitri Bortnjanski;Gelb 25;Dezember 24;;
Weltliche Chorliteratur;The Scat Calypso;;Rosa 135;;;
Weltliche Chorliteratur;Tiritomba;Carsten Gerlitz;Rosa 87;;;
Weihnachtliche Chorliteratur ;Tochter Zion;G.F. Haendel;Blau 34;Dezember 24;;
Weihnachtliche Chorliteratur ;Tollite hostias  Schlusschor Weihnachtsorat. (2007);C.Saint-SAens;Blau 35;;;
Weihnachtliche Chorliteratur ;Transeamus usque Bethlehem...;Joseph Schnabel;Blau 36;;;
Weltliche Chorliteratur;Trinklied aus La Traviata;Verdi;Extrabox;;;
Weihnachtliche Chorliteratur ;Trommellied;Wolfgang L�deritz;Blau 37;Dezember 24;;
Weltliche Chorliteratur;Tum-Balalaika.......;Dt.Tex M. Roncagli;Rosa 88;;;
Weltliche Chorliteratur;Und die Musik spielt (Ma Cherie..);;Rosa 89;;;
Weltliche Chorliteratur;Ungarische T�nze Nr.5          (2015);Joh.Brahms;Rosa 90;;;
Weltliche Chorliteratur;Ungarische z�nze Nr.6;Joh.Brahms;Rosa 91;;;
Weltliche Chorliteratur;Uns�re kleine Nachtmusik...(2009);W.A. Mozart;Rosa 119;;;
Weihnachtliche Chorliteratur ;Venite Noramo;Siegfried Singer;Blau 70;;;
Geistliche Chorliteratur;Verleih uns Frieden gn�diglich;;Gelb 26;;;
Weltliche Chorliteratur;Veronika der Lenz ist da;Fritz Rotter;Rosa 92;;;
Geistliche Chorliteratur;Vier Beerdigungs- Ch�re. Doppelblatt;;Gelb 28;;;
Weltliche Chorliteratur;Vinum schenk ein,lass Wasser sein�;Erasmus Widmann;Rosa 104;;;
Weltliche Chorliteratur;Viva, die Stunde sei ein Fest;;Rosa 123;;;
Weltliche Chorliteratur;Vo Luzern uf W�ggis zue....;;Rosa 120;;;
Geistliche Chorliteratur;Von guten M�chten wunderbar geborgen�;;Gelb 27;;;
Weihnachtliche Chorliteratur ;Von seinem ewgen festen Thron....;Glatzer Polen;Blau 51;Dezember 17;;
Weihnachtliche Chorliteratur ;Vor langer Zeit in Bethlehem;Manfred B�hler;Blau 38;;;
Weltliche Chorliteratur;Waldesnacht du wunderk�hle...;J.S. Brahms;Rosa 94;;;
Weihnachtliche Chorliteratur ;W�re die Freude nur immer so gro�....;K. Heizmann;Blau 39;;;
Weihnachtliche Chorliteratur ;Weihnachtsgesang-Cantque pour Noel....(2006);John Rutter;Blau 40;;;
Weihnachtliche Chorliteratur ;Weihnachtsglocken l�uten durch die Nacht  (2024);Roger  Whittaker;Blau 91;Dezember 24;;
Weihnachtliche Chorliteratur ;Weihnachtsjubel;Robert Jones;Blau 47;Dezember 22;;
Weihnachtliche Chorliteratur ;Weihnachtskantat;J:S. Beyer;Blau 45;;;
Weihnachtliche Chorliteratur ;Weihnachtslied-Glocken l�uten in allen Landen�;Herrmann Sonnet;Blau 73;;;
Weihnachtliche Chorliteratur ;Weihnachtsmottete;;Blau 07;Dezember 23;;
Weihnachtliche Chorliteratur ;Weihnachtsstern,Weihnachtsstern,steige..(2009);Arcangelo Corelli;Blau 41;Dezember 18;;
Weihnachtliche Chorliteratur ;Weihnachtswiegenlied.  Strahlend und hell�..;John Rutter;Blau 42;Dezember 22;;
Weltliche Chorliteratur;Wenn die Nachtigallen schlagen      (2007);F. Oberborbeck;Rosa 95;;;
Weltliche Chorliteratur;What A Wonderful World�.;George D: Weiss;Rosa 136;Juli 24;;
Weltliche Chorliteratur;When I'm  64;John Lennon;Rosa 119;;;
Weltliche Chorliteratur;Wie sch�n bist du, freundliche Stille�;Franz Schubert;Rosa 96;;;
Geistliche Chorliteratur;Wie sch�n leuchtet der Morgenstern;Joh.Seb.Bach;Gelb 31;Dezember 18;;
Weihnachtliche Chorliteratur ;Wie sch�n leuchtet der Morgenstern.     2013;Joh.Seb. Bach;Blau 86;Dezember 23;;
Weihnachtliche Chorliteratur ;Wie soll ich dich �mpfangen...;;Blau 43;;;
Weihnachtliche Chorliteratur ;Winter-Largo�..2019;Antonio Vivaldi;Blau 63;Dezember 24;;
Geistliche Chorliteratur;Wo Engelstimm im Lied erschallt;;Gelb 34;;;
Weltliche Chorliteratur;Wo man singt;Ludwig Maierhofer;Rosa 124;;;
Weltliche Chorliteratur;Wochenend und Sonnenschein;;Rosa 97;;;
Geistliche Chorliteratur;Wohin soll ich mich wenden;;Gelb 33;;;
Geistliche Chorliteratur;Wohl mir, dass ich Jesum habe;;Gelb 32;;;
Geistliche Chorliteratur;Wohlauf,wohlan zum letzten Gang---;;Gelb 28;;;
Weltliche Chorliteratur;Wunder gibt es immer wieder�;Christian Bruhn;Rosa 138;Juli 24;;
Weltliche Chorliteratur;Yesterday;Lenon,Mc.Cartn.;Rosa 98;Juli 24;;
Weihnachtliche Chorliteratur ;Zu Bethlehem geboren ist uns ein Kindelein;Jakob Gippenbusch;Blau 56;Dezember 19;;
Weihnachtliche Chorliteratur ;Zu Bethlehem �berm Stall ......(2009);Manfred B�hler;Blau 46;Dezember 18;;
Weltliche Chorliteratur;Zum festlichen Tag/ Gl�cklich die Std.;Helmut Bogenhausen; ;;;
Weltliche Chorliteratur;Zum Tanze da geht ein M�del;Kurt Suttner;Rosa 99;;;
Weihnachtliche Chorliteratur ;Zumba,zumba welch ein singen;Manfred B�hler;Blau 60;Dezember 19;;
Weihnachtliche Chorliteratur ;Zur Krippe: Engel k�nden Frieden.....;Friedrich Zubrod;Blau 55;Dezember 18;;
Weltliche Chorliteratur;Zwei Herzen im Dreivierteltakt�;;Rosa 128;;;
Weltliche Chorliteratur;Zwei kleine Italiener�;Chritian Bruhn;Rosa 137;Juli 24;;
Weihnachtliche Chorliteratur ;Zwei Weihnachtslieder aus der Grafsch. Glatz;Max Drischner;Blau 48;;;
Weltliche Chorliteratur;Zwischen Don und Wolga  (2010);Adolf G�tz;Rosa 100;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
